,Company Name,Date,ISIN,Location,Market
0,IKONISYS,19/07/2021,FR00140048X2,Paris,Euronext Growth
1,GREENVOLT,15/07/2021,PTGNV0AM0001,Lisbon,Euronext
2,ENOGIA,14/07/2021,FR0014004974,Paris,Euronext Growth
3,E PANGO,12/07/2021,FR0014004339,Paris,Euronext Growth
4,DATALEX PLC,08/07/2021,IE0000527006,Dublin,Euronext Growth
5,WIZIBOAT,07/07/2021,FR00140047H7,Paris,Euronext Access
6,SPARTOO,07/07/2021,FR00140043Y1,Paris,Euronext Growth
7,NEW AMSTERDAM INVEST,06/07/2021,NL0015000CG2,Amsterdam,Euronext
8,GIGANTE SALMON,05/07/2021,NO0011013765,Oslo,Euronext Growth
9,NFL BIOSCIENCES,05/07/2021,FR0014003XT0,Paris,Euronext Growth
10,MERIDIA RE IV,05/07/2021,ES0105559001,Paris,Euronext Access
11,BIOTALYS,02/07/2021,BE0974386188,Brussels,Euronext
12,AMA CORPORATION,02/07/2021,GB00BNKGZC51,Paris,Euronext Growth
13,ODYSSEY ORD SHARES,02/07/2021,LU2355630455,Amsterdam,Euronext
14,DNB BANK,02/07/2021,NO0010161896,Oslo,Oslo Børs
15,CLIMATE TRANSITION CAPITAL ACQUISITION I,30/06/2021,NL0015000DC9,Amsterdam,Euronext
16,ALTERNUS ENERGY GR,30/06/2021,IE00BLRPRP89,Oslo,Euronext Growth
17,RES GESTAE SOCIMI,30/06/2021,ES0105550000,Paris,Euronext Access
18,BOA CONCEPT,29/06/2021,FR0011365907,Paris,Euronext Growth
19,DEE TECH SHARES,25/06/2021,FR0014003G01,Paris,Euronext
20,GENTIAN DIAGNOSTICS,25/06/2021,NO0010748866,Oslo,Oslo Børs
21,HDF,24/06/2021,FR0014003VY4,Paris,Euronext
22,GROUPE CASOL,24/06/2021,FR0014003RM7,Paris,Euronext Access
23,SmartCraft ASA,24/06/2021,NO0011008971,Oslo,Oslo Børs
24,CLOUDBERRY CLEAN ENERGY,22/06/2021,NO0010876642,Oslo,Oslo Børs
25,CRYSTAL PEAK SHARE,22/06/2021,KYG2581M1078,Amsterdam,Euronext
26,TRANSITION SHARES,22/06/2021,FR00140039U7,Paris,Euronext
27,RAPID NUTRITION,22/06/2021,GB00BLG2TX24,Paris,Euronext Growth
28,KOMPLETT,21/06/2021,NO0011016040,Oslo,Oslo Børs
29,AKER CARBON CAPTUR,18/06/2021,NO0010890304,Oslo,Oslo Børs
30,OMER-DECUGIS & CIE,18/06/2021,FR0014003T71,Paris,Euronext Growth
31,ARAMIS GROUP,18/06/2021,FR0014003U94,Paris,Euronext
32,SIGNAUX GIROD,18/06/2021,FR0000060790,Paris,Euronext Growth
33,MÅSØVAL,17/06/2021,NO0010974983,Oslo,Euronext Growth
34,ELOPAK,17/06/2021,NO0011002586,Oslo,Oslo Børs
35,THERAVET,17/06/2021,BE0974387194,Paris,Euronext Growth
36,NAMR,15/06/2021,FR0014003J32,Paris,Euronext Growth
37,AFFLUENT MEDICAL,14/06/2021,FR0013333077,Paris,Euronext
